所属階層１,所属階層２,所属階層３,所属階層４,所属階層５
エージェント第一事業本部,看護エージェント事業部,法人グループ,中日本法人Cチーム,
エージェント第一事業本部,介護エージェント事業部,さいたまグループ,さいたまDチーム,
経営企画管理本部,経理部,,,
スタッフィング事業本部,介護スタッフィング事業部,西日本グループ,福岡チーム,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,北日本グループ,東北Cチーム
レバテック株式会社,ITリクルーティング事業部,リクルーティングアドバイザーグループ,未経験RAチーム,
システム本部,メディアシステム部,アジャイルエフェクトグループ,,
レバテック株式会社,ITソリューション事業部,フォローグループ,ITエンジニアチーム2,ITエンジニアチーム2第1ユニット
エージェント第一事業本部,看護エージェント事業部,法人グループ,MDC施設在宅Aチーム,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,横浜グループ,横浜Aチーム
人事本部,人事採用部,新卒採用グループ,営業職第一チーム,営業職第一グループユニットD
オンライン診療事業部,カスタマーサクセスグループ,,,
レバテック株式会社,SES開発部（外勤）,WEB開発グループ（外勤）,,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京常勤グループ,東京常勤Dチーム
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京常勤グループ,東京常勤Aチーム
レバテック株式会社,ITソリューション事業部,,,
レバテック株式会社,IT新卒紹介事業部,新卒メディアグループ,ビジネスチーム,
海外事業本部,人材事業推進部,AJSグループ,セールスサポートチーム,
レバテック株式会社,ITソリューション事業部,新規セグメントグループ,データストラテジーチーム,
レバテック株式会社,ITソリューション事業部,Webユーザーグループ,Webユーザーフロントチーム,Webユーザーフロント第2ユニット
人事本部,人事採用部,新卒採用グループ,営業職第一チーム,営業職第一グループユニットB
マーケティング部,機能戦略室,CRMグループ,レバテックチーム,
レバテック株式会社,ITソリューション事業部,クリエイターサービスグループ,CRサービスキャリアアドバイザーチーム,CRSキャリアアドバイザー第2ユニット
スタッフィング事業本部,介護スタッフィング事業部,西日本グループ,,
人事本部,人事採用部,新卒採用グループ,営業職第一チーム,営業職第一グループユニットE
LW経営企画本部,経営企画部,BPO立川チーム,,
人事本部,人事採用部,新卒採用グループ,営業職第一チーム,営業職第一グループユニットD
人事本部,人事採用部,新卒採用グループ,営業職第一チーム,営業職第一グループユニットB
レバテック株式会社,管理部,業務管理グループ,審査チーム,就職ユニット
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,船橋グループ,
エージェント第一事業本部,介護エージェント事業部,さいたまグループ,,
マーケティング部,業務推進室,業務自動化チーム,,
レバテック株式会社,LT文化組織戦略部,レバテック広報グループ,,
システム本部,ソリューション開発部,オンライン診療事業,開発チーム,
レバテック株式会社,エンタープライズ事業部,エンタープライズセールスグループ,エンタープライズセールスチーム,
エージェント第一事業本部,介護エージェント事業部,北日本グループ,東北Cチーム,
中途採用事業本部,HC事業企画部,事業企画グループ,システムディレクションチーム,
エージェント第一事業本部,介護エージェント事業部,東京日勤グループ,東京日勤Aチーム,
キャリアチケット事業本部,事業推進部,品質管理室,,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,キャリアアドバイザーチーム,
M&Aアドバイザリー事業部,,,,
エージェント第一事業本部,介護エージェント事業部,プロフェッショナルグループ,首都圏Aチーム,
マーケティング部,プロダクト戦略室,メディアグロースグループ,コンテンツマーケティングチーム,LMCユニット
経営企画管理本部,経営企画室,戦略企画グループ,,
キャリアチケット事業本部,就職エージェント事業部,リクルートアドバイザーグループ,リクルーティングアドバイザーチーム,RAユニット1
